# x_bohr V_Hartree
-5.970074812967580691e+00 1.001203081495189622e+02
-5.940149625935161382e+00 9.787748502291627517e+01
-5.910224438902742961e+00 9.567114760869382906e+01
-5.880299251870323651e+00 9.350091482003429633e+01
-5.850374064837905230e+00 9.136640749480147861e+01
-5.820448877805485921e+00 8.926724839553973823e+01
-5.790523690773066612e+00 8.720306220947460929e+01
-5.760598503740648191e+00 8.517347554851248503e+01
-5.730673316708228882e+00 8.317811694924051835e+01
-5.700748129675810461e+00 8.121661687292690601e+01
-5.670822942643391151e+00 7.928860770552061865e+01
-5.640897755610971842e+00 7.739372375765159973e+01
-5.610972568578553421e+00 7.553160126463073709e+01
-5.581047381546134112e+00 7.370187838644960721e+01
-5.551122194513715691e+00 7.190419520778094409e+01
-5.521197007481296382e+00 7.013819373797814194e+01
-5.491271820448877072e+00 6.840351791107563884e+01
-5.461346633416458651e+00 6.669981358578881725e+01
-5.431421446384039342e+00 6.502672854551371984e+01
-5.401496259351620921e+00 6.338391249832757524e+01
-5.371571072319201612e+00 6.177101707698821542e+01
-5.341645885286782303e+00 6.018769583893458730e+01
-5.311720698254363882e+00 5.863360426628648980e+01
-5.281795511221944572e+00 5.710839976584452415e+01
-5.251870324189526151e+00 5.561174166909032124e+01
-5.221945137157106842e+00 5.414329123218623607e+01
-5.192019950124688421e+00 5.270271163597572439e+01
-5.162094763092269112e+00 5.128966798598293053e+01
-5.132169576059849803e+00 4.990382731241304981e+01
-5.102244389027431382e+00 4.854485857015214378e+01
-5.072319201995012072e+00 4.721243263876709051e+01
-5.042394014962592763e+00 4.590622232250571244e+01
-5.012468827930174342e+00 4.462590235029679775e+01
-4.982543640897755033e+00 4.337114937574986584e+01
-4.952618453865336612e+00 4.214164197715552262e+01
-4.922693266832917303e+00 4.093706065748507683e+01
-4.892768079800498882e+00 3.975708784439093080e+01
-4.862842892768079572e+00 3.860140789020618257e+01
-4.832917705735660263e+00 3.746970707194498118e+01
-4.802992518703241842e+00 3.636167359130232057e+01
-4.773067331670822533e+00 3.527699757465403962e+01
-4.743142144638403224e+00 3.421537107305694292e+01
-4.713216957605984803e+00 3.317648806224870839e+01
-4.683291770573565493e+00 3.216004444264787310e+01
-4.653366583541147072e+00 3.116573803935395048e+01
-4.623441396508727763e+00 3.019326860214722785e+01
-4.593516209476309342e+00 2.924233780548901507e+01
-4.563591022443890033e+00 2.831264924852141718e+01
-4.533665835411470724e+00 2.740390845506749429e+01
-4.503740648379052303e+00 2.651582287363122603e+01
-4.473815461346632993e+00 2.564810187739736946e+01
-4.443890274314213684e+00 2.480045676423169354e+01
-4.413965087281795263e+00 2.397260075668083701e+01
-4.384039900249375954e+00 2.316424900197227643e+01
-4.354114713216957533e+00 2.237511857201446830e+01
-4.324189526184538224e+00 2.160492846339667850e+01
-4.294264339152119803e+00 2.085339959738915283e+01
-4.264339152119700493e+00 2.012025481994294651e+01
-4.234413965087281184e+00 1.940521890169006980e+01
-4.204488778054862763e+00 1.870801853794344538e+01
-4.174563591022443454e+00 1.802838234869681600e+01
-4.144638403990024145e+00 1.736604087862486878e+01
-4.114713216957605724e+00 1.672072659708321041e+01
-4.084788029925186414e+00 1.609217389810826049e+01
-4.054862842892767993e+00 1.548011910041742034e+01
-4.024937655860348684e+00 1.488430044740893088e+01
-3.995012468827929819e+00 1.430445810716195609e+01
-3.965087281795510954e+00 1.374033417243654753e+01
-3.935162094763092089e+00 1.319167266067364608e+01
-3.905236907730673224e+00 1.265821951399509260e+01
-3.875311720698253914e+00 1.213972259920361552e+01
-3.845386533665835049e+00 1.163593170778286279e+01
-3.815461346633416184e+00 1.114659855589735216e+01
-3.785536159600997319e+00 1.067147678439250313e+01
-3.755610972568578454e+00 1.021032195879463345e+01
-3.725685785536159145e+00 9.762891569310948370e+00
-3.695760598503740280e+00 9.328945030829567386e+00
-3.665835411471321414e+00 8.908243682919483319e+00
-3.635910224438902549e+00 8.500550789830597864e+00
-3.605985037406483684e+00 8.105631540493694942e+00
-3.576059850374064375e+00 7.723253048520465569e+00
-3.546134663341645510e+00 7.353184352203496310e+00
-3.516209476309226645e+00 6.995196414516263950e+00
-3.486284289276807780e+00 6.649062123113137268e+00
-3.456359102244388914e+00 6.314556290329388588e+00
-3.426433915211969605e+00 5.991455653181168906e+00
-3.396508728179550740e+00 5.679538873365554075e+00
-3.366583541147131875e+00 5.378586537260486189e+00
-3.336658354114713010e+00 5.088381155924816213e+00
-3.306733167082294145e+00 4.808707165098287106e+00
-3.276807980049874836e+00 4.539350925201535603e+00
-3.246882793017455970e+00 4.280100721336100200e+00
-3.216957605985037105e+00 4.030746763284406065e+00
-3.187032418952618240e+00 3.791081185509780127e+00
-3.157107231920199375e+00 3.560898047156440871e+00
-3.127182044887780066e+00 3.339993332049497443e+00
-3.097256857855361201e+00 3.128164948694968306e+00
-3.067331670822942336e+00 2.925212730279753703e+00
-3.037406483790523470e+00 2.730938434671651649e+00
-3.007481296758104605e+00 2.545145744419361478e+00
-2.977556109725685296e+00 2.367640266752466971e+00
