# x_bohr V_Hartree
-5.970074812967580691e+00 0.000000000000000000e+00
-5.940149625935161382e+00 0.000000000000000000e+00
-5.910224438902742961e+00 0.000000000000000000e+00
-5.880299251870323651e+00 0.000000000000000000e+00
-5.850374064837905230e+00 0.000000000000000000e+00
-5.820448877805485921e+00 0.000000000000000000e+00
-5.790523690773066612e+00 0.000000000000000000e+00
-5.760598503740648191e+00 0.000000000000000000e+00
-5.730673316708228882e+00 0.000000000000000000e+00
-5.700748129675810461e+00 0.000000000000000000e+00
-5.670822942643391151e+00 0.000000000000000000e+00
-5.640897755610971842e+00 0.000000000000000000e+00
-5.610972568578553421e+00 0.000000000000000000e+00
-5.581047381546134112e+00 0.000000000000000000e+00
-5.551122194513715691e+00 0.000000000000000000e+00
-5.521197007481296382e+00 0.000000000000000000e+00
-5.491271820448877072e+00 0.000000000000000000e+00
-5.461346633416458651e+00 0.000000000000000000e+00
-5.431421446384039342e+00 0.000000000000000000e+00
-5.401496259351620921e+00 0.000000000000000000e+00
-5.371571072319201612e+00 0.000000000000000000e+00
-5.341645885286782303e+00 0.000000000000000000e+00
-5.311720698254363882e+00 0.000000000000000000e+00
-5.281795511221944572e+00 0.000000000000000000e+00
-5.251870324189526151e+00 0.000000000000000000e+00
-5.221945137157106842e+00 0.000000000000000000e+00
-5.192019950124688421e+00 0.000000000000000000e+00
-5.162094763092269112e+00 0.000000000000000000e+00
-5.132169576059849803e+00 0.000000000000000000e+00
-5.102244389027431382e+00 0.000000000000000000e+00
-5.072319201995012072e+00 0.000000000000000000e+00
-5.042394014962592763e+00 0.000000000000000000e+00
-5.012468827930174342e+00 0.000000000000000000e+00
-4.982543640897755033e+00 0.000000000000000000e+00
-4.952618453865336612e+00 0.000000000000000000e+00
-4.922693266832917303e+00 0.000000000000000000e+00
-4.892768079800498882e+00 0.000000000000000000e+00
-4.862842892768079572e+00 0.000000000000000000e+00
-4.832917705735660263e+00 0.000000000000000000e+00
-4.802992518703241842e+00 0.000000000000000000e+00
-4.773067331670822533e+00 0.000000000000000000e+00
-4.743142144638403224e+00 0.000000000000000000e+00
-4.713216957605984803e+00 0.000000000000000000e+00
